sep=,
type_sped,block,code,required,in_required,out_required,level,card,spec_required,spec_in,spec_out,desc,register,index,code,type,required,in_required,out_required,conditional_required,conditional_out_required,conditional_in_required,length,xsd_type,decimal,spec_type,spec_required,spec_in,spec_out,values,spec_values,rules,desc
EFD-ICMS-IPI,1,1921,True,,,5,1:N,O,,,Ajuste/Benefício/Incentivo da Sub- apuração do ICMS,1921,2,COD_AJ_APUR,char,True,,,,,,008*,,,C,O,,,,,,"Código do ajuste da SUB-APURAÇÃO e dedução, conforme a Tabela indicada no item 5.1.1."
EFD-ICMS-IPI,1,1921,True,,,5,1:N,O,,,Ajuste/Benefício/Incentivo da Sub- apuração do ICMS,1921,3,DESCR_COMPL_AJ,char,,,,True,,,,,,C,OC,,,,,,Descrição complementar do ajuste da apuração.
EFD-ICMS-IPI,1,1921,True,,,5,1:N,O,,,Ajuste/Benefício/Incentivo da Sub- apuração do ICMS,1921,4,VL_AJ_APUR,float,True,,,,,,,,02,N,O,,,,,,Valor do ajuste da apuração
EFD-ICMS-IPI,1,1922,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS,1922,2,NUM_DA,char,,,,True,,,,,,C,OC,,,,,,"Número do documento de arrecadação estadual, se houver"
EFD-ICMS-IPI,1,1922,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS,1922,3,NUM_PROC,char,,,,True,,,060,,,C,OC,,,,,,"Número do processo ao qual o ajuste está vinculado, se houver"
EFD-ICMS-IPI,1,1922,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS,1922,4,IND_PROC,char,,,,True,,,001*,,,C,OC,,,,,,Indicador da origem do processo: 0- SEFAZ; 1- Justiça Federal; 2- Justiça Estadual; 9- Outros
EFD-ICMS-IPI,1,1922,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS,1922,5,PROC,char,,,,True,,,,,,C,OC,,,,,,Descrição resumida do processo que embasou o lançamento
EFD-ICMS-IPI,1,1922,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS,1922,6,TXT_COMPL,char,,,,True,,,,,,C,OC,,,,,,Descrição complementar
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,2,COD_PART,char,True,,,,,,060,,,C,O,,,,,,"Código do participante (campo 02 do Registro 0150): - do emitente do documento ou do remetente das mercadorias, no caso de entradas; - do adquirente, no caso de saídas"
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,3,COD_MOD,char,True,,,,,,002*,,,C,O,,,,,,"Código do modelo do documento fiscal, conforme a Tabela 4.1.1"
EFD-ICMS-IPI,1,1923,True,,,6,1:N,O,,,Informações Adicionais dos Ajustes da Sub-apuração do ICMS – Identificação dos Documentos Fiscais,1923,4,SER,char,,,,True,,,004,,,C,OC,,,,,,Série do documento fiscal
